0,750,242,360,96,52,82.31,21.05,45.06,69.26,35.28
1,750,0,0,456,294,0.0,100.0,60.8,67.17,23.67
2,750,0,0,456,294,0.0,100.0,60.8,68.77,23.67
3,750,0,0,456,294,0.0,100.0,60.8,68.65,23.67
4,750,0,0,456,294,0.0,100.0,60.8,67.44,23.67
5,750,0,0,456,294,0.0,100.0,60.8,69.42,23.67
6,750,5,0,456,289,1.7,100.0,61.46,73.49,24.18
7,750,34,5,451,260,11.56,98.9,64.66,76.22,27.09
8,750,74,18,438,220,25.17,96.05,68.26,77.46,31.41
9,750,122,33,423,172,41.49,92.76,72.66,78.63,37.89
10,750,144,43,413,150,48.97,90.57,74.26,79.97,41.25
11,750,160,51,405,134,54.42,88.81,75.33,80.98,43.93
12,750,176,61,395,118,59.86,86.62,76.13,81.61,46.72
13,750,173,56,400,121,58.84,87.71,76.4,82.44,46.43
14,750,180,56,400,114,61.22,87.71,77.33,83.08,48.09
15,750,197,66,390,97,67.0,85.52,78.26,83.51,51.58
16,750,189,59,397,105,64.28,87.06,78.13,83.44,50.08
17,750,191,64,392,103,64.96,85.96,77.73,84.17,50.17
18,750,191,60,396,103,64.96,86.84,78.26,84.45,50.51
19,750,197,61,395,97,67.0,86.62,78.93,84.28,52.02
20,750,194,62,394,100,65.98,86.4,78.4,84.46,51.13
21,750,196,61,395,98,66.66,86.62,78.8,85.18,51.75
22,750,201,70,386,93,68.36,84.64,78.26,84.79,52.31
23,750,207,71,385,87,70.4,84.42,78.93,85.14,53.91
24,750,194,53,403,100,65.98,88.37,79.6,84.73,51.91
25,750,196,56,400,98,66.66,87.71,79.46,85.38,52.18
26,750,209,71,385,85,71.08,84.42,79.2,84.68,54.49
27,750,190,50,406,104,64.62,89.03,79.46,85.5,51.11
28,750,209,59,397,85,71.08,87.06,80.8,85.79,55.59
29,750,208,69,387,86,70.74,84.86,79.33,85.49,54.38
30,750,207,55,401,87,70.4,87.93,81.06,86.1,55.37
31,750,213,61,395,81,72.44,86.62,81.06,85.37,56.61
32,750,222,70,386,72,75.51,84.64,81.06,86.02,58.57
33,750,204,59,397,90,69.38,87.06,80.13,85.04,54.14
34,750,207,57,399,87,70.4,87.5,80.8,85.61,55.19
35,750,212,68,388,82,72.1,85.08,80.0,85.65,55.65
36,750,198,56,400,96,67.34,87.71,79.73,85.79,52.73
37,750,209,58,398,85,71.08,87.28,80.93,85.9,55.68
38,750,209,57,399,85,71.08,87.5,81.06,85.96,55.77
39,750,207,58,398,87,70.4,87.28,80.66,86.13,55.1
40,750,205,55,401,89,69.72,87.93,80.8,86.1,54.79
41,750,219,65,391,75,74.48,85.74,81.33,86.08,58.09
42,750,219,60,396,75,74.48,86.84,82.0,86.06,58.57
43,750,212,57,399,82,72.1,87.5,81.46,86.46,56.67
44,750,206,56,400,88,70.06,87.71,80.8,86.23,54.99
45,750,201,49,407,93,68.36,89.25,81.06,86.52,54.18
46,750,210,55,401,84,71.42,87.93,81.46,86.35,56.26
47,750,203,56,400,91,69.04,87.71,80.4,86.05,54.12
48,750,207,58,398,87,70.4,87.28,80.66,86.49,55.1
49,750,224,63,393,70,76.19,86.18,82.26,86.37,59.9
50,750,218,66,390,76,74.14,85.52,81.06,85.83,57.68
51,750,212,54,402,82,72.1,88.15,81.86,86.42,56.95
52,750,207,55,401,87,70.4,87.93,81.06,86.83,55.37
53,750,215,60,396,79,73.12,86.84,81.46,86.86,57.31
54,750,204,58,398,90,69.38,87.28,80.26,85.83,54.23
55,750,206,54,402,88,70.06,88.15,81.06,86.55,55.17
56,750,202,53,403,92,68.7,88.37,80.66,86.61,54.11
57,750,222,76,380,72,75.51,83.33,80.26,85.73,57.99
58,750,210,59,397,84,71.42,87.06,80.93,86.45,55.89
59,750,210,61,395,84,71.42,86.62,80.66,86.26,55.7
60,750,222,67,389,72,75.51,85.3,81.46,86.52,58.86
61,750,208,49,407,86,70.74,89.25,82.0,86.54,56.21
62,750,212,56,400,82,72.1,87.71,81.59,86.31,56.77
63,750,228,64,392,66,77.55,85.96,82.66,87.1,61.14
64,750,202,44,412,92,68.7,90.35,81.86,87.12,54.91
65,750,211,58,398,83,71.76,87.28,81.2,86.66,56.28
66,750,223,60,396,71,75.85,86.84,82.53,86.67,59.86
67,750,211,55,401,83,71.76,87.93,81.59,87.1,56.56
68,750,208,54,402,86,70.74,88.15,81.33,86.51,55.75
69,750,212,54,402,82,72.1,88.15,81.86,87.23,56.95
70,750,220,57,399,74,74.82,87.5,82.53,87.2,59.17
71,750,208,58,398,86,70.74,87.28,80.8,86.43,55.39
72,750,219,59,397,75,74.48,87.06,82.13,86.84,58.66
73,750,214,55,401,80,72.78,87.93,82.0,87.43,57.47
74,750,210,59,397,84,71.42,87.06,80.93,87.09,55.89
75,750,205,49,407,89,69.72,89.25,81.59,87.11,55.33
76,750,219,57,399,75,74.48,87.5,82.4,87.48,58.85
77,750,216,54,402,78,73.46,88.15,82.4,87.31,58.19
78,750,208,46,410,86,70.74,89.91,82.4,87.31,56.48
79,750,207,45,411,87,70.4,90.13,82.4,87.13,56.28
80,750,218,61,395,76,74.14,86.62,81.73,86.63,58.15
81,750,221,60,396,73,75.17,86.84,82.26,87.22,59.21
82,750,204,54,402,90,69.38,88.15,80.8,86.36,54.59
83,750,210,58,398,84,71.42,87.28,81.06,86.14,55.98
84,750,219,64,392,75,74.48,85.96,81.46,86.81,58.19
85,750,221,63,393,73,75.17,86.18,81.86,86.71,58.92
86,750,215,56,400,79,73.12,87.71,82.0,87.24,57.69
