Wall time,Step,Value
1592886788.7432082,0,0.5417066216468811
1592886801.9991243,1,0.665388286113739
1592886815.320011,2,0.6768935918807983
1592886828.6235678,3,0.6970278024673462
1592886842.0253468,4,0.7056567668914795
1592886855.3903248,5,0.6778523325920105
1592886868.8735242,6,0.6951102614402771
1592886882.3080103,7,0.6845637559890747
1592886895.7346227,8,0.6922339200973511
1592886909.1163611,9,0.7526366114616394
1592886922.680823,10,0.6826462149620056
1592886936.1986432,11,0.7497603297233582
1592886949.7394328,12,0.7315436005592346
1592886963.3062668,13,0.7267497777938843
1592886976.8488715,14,0.717162013053894
1592886990.3267467,15,0.7142857313156128
1592887003.8141532,16,0.8092042207717896
1592887017.3670056,17,0.7631831169128418
1592887030.9013276,18,0.7631831169128418
1592887044.4329114,19,0.7267497777938843
1592887058.216509,20,0.7555129528045654
1592887071.7206504,21,0.7162032723426819
1592887085.3874466,22,0.8139981031417847
1592887098.9305637,23,0.7660594582557678
1592887112.5086591,24,0.7651006579399109
1592887126.0913093,25,0.7890700101852417
1592887139.7511625,26,0.7775647044181824
1592887153.4011624,27,0.7459251880645752
1592887167.0988526,28,0.7641419172286987
1592887180.7948096,29,0.7545541524887085
1592887194.653981,30,0.7708532810211182
1592887208.388944,31,0.8130393028259277
1592887222.1060154,32,0.7468839883804321
1592887235.911925,33,0.7660594582557678
1592887249.6282945,34,0.8312559723854065
1592887263.3897958,35,0.8245446085929871
1592887276.9697075,36,0.8063278794288635
1592887290.627189,37,0.791946291923523
1592887304.3622026,38,0.846596360206604
1592887318.0974815,39,0.8130393028259277
1592887331.8110647,40,0.797698974609375
1592887345.6552477,41,0.7651006579399109
1592887359.3330054,42,0.797698974609375
1592887373.0409179,43,0.8139981031417847
1592887386.8825035,44,0.7689357399940491
1592887400.6102097,45,0.7756471633911133
1592887414.3731177,46,0.8092042207717896
1592887428.0263834,47,0.7679769992828369
1592887441.9759972,48,0.7996165156364441
1592887455.7033753,49,0.8446788191795349
1592887469.4642198,50,0.8053691387176514
1592887483.0474045,51,0.8111217617988586
1592887496.699066,52,0.7516778707504272
1592887510.466374,53,0.8063278794288635
1592887524.2266784,54,0.8293384313583374
1592887537.891843,55,0.7929050922393799
1592887551.573976,56,0.7986577153205872
1592887565.2829735,57,0.7804410457611084
1592887579.1047535,58,0.797698974609375
1592887592.762077,59,0.8159156441688538
1592887606.4874787,60,0.8015340566635132
1592887620.2295702,61,0.7813997864723206
1592887633.995335,62,0.7651006579399109
1592887647.7659907,63,0.843720018863678
1592887661.4998999,64,0.8005752563476562
1592887675.272833,65,0.8552253246307373
1592887689.022634,66,0.7257909774780273
1592887702.8057415,67,0.8207094669342041
1592887716.4952662,68,0.7861936688423157
1592887730.28537,69,0.7842761278152466
1592887744.1361368,70,0.8082454204559326
1592887757.7453225,71,0.793863832950592
1592887771.4624777,72,0.8149568438529968
1592887785.2206552,73,0.818791925907135
1592887799.09189,74,0.7737296223640442
1592887812.779569,75,0.821668267250061
1592887826.4885342,76,0.8139981031417847
1592887840.2058637,77,0.7545541524887085
1592887853.991511,78,0.76701819896698
1592887867.7683775,79,0.7996165156364441
1592887881.510662,80,0.8120805621147156
1592887895.2775629,81,0.8149568438529968
1592887909.0874035,82,0.797698974609375
1592887922.8640234,83,0.8063278794288635
1592887936.7424037,84,0.772770881652832
1592887950.5440326,85,0.7890700101852417
1592887964.3621755,86,0.7833173274993896
1592887978.1651633,87,0.7794822454452515
1592887991.8046975,88,0.7996165156364441
1592888005.6435187,89,0.8139981031417847
1592888019.5297244,90,0.7660594582557678
1592888033.3167732,91,0.8149568438529968
1592888047.2459526,92,0.8005752563476562
1592888061.0243976,93,0.8120805621147156
1592888074.8814504,94,0.8072866797447205
1592888088.588748,95,0.7957813739776611
1592888102.4671113,96,0.8207094669342041
1592888116.153136,97,0.793863832950592
1592888130.033776,98,0.8398849368095398
1592888143.7885878,99,0.7861936688423157
1592888157.6774726,100,0.7852349281311035
1592888171.4321315,101,0.8293384313583374
1592888185.3541183,102,0.7909875512123108
1592888199.2121818,103,0.7746884226799011
1592888212.9816344,104,0.7555129528045654
1592888226.9855366,105,0.794822633266449
1592888240.8262453,106,0.7957813739776611
1592888254.7603638,107,0.772770881652832
1592888268.5825849,108,0.7929050922393799
1592888282.4511302,109,0.7631831169128418
1592888296.2057092,110,0.797698974609375
1592888310.0475378,111,0.8302972316741943
1592888323.9308252,112,0.8063278794288635
1592888337.767752,113,0.7852349281311035
1592888351.6712246,114,0.7785235047340393
1592888365.4835246,115,0.8072866797447205
1592888379.3336244,116,0.8139981031417847
1592888393.1518698,117,0.7555129528045654
1592888406.8853343,118,0.8072866797447205
1592888420.6808727,119,0.8024927973747253
1592888434.4096465,120,0.7996165156364441
1592888448.2354133,121,0.7756471633911133
1592888462.0529716,122,0.8120805621147156
1592888475.9798713,123,0.8111217617988586
1592888489.8699148,124,0.7890700101852417
1592888503.7380085,125,0.8034515976905823
1592888517.603467,126,0.818791925907135
1592888531.4464765,127,0.7929050922393799
1592888545.290787,128,0.7746884226799011
1592888559.168723,129,0.797698974609375
1592888573.1499522,130,0.7852349281311035
1592888587.1685324,131,0.7804410457611084
1592888601.1846974,132,0.794822633266449
1592888615.024392,133,0.8015340566635132
1592888629.09943,134,0.8274208903312683
1592888643.1338792,135,0.8044103384017944
1592888657.0397468,136,0.7794822454452515
1592888670.966771,137,0.8101630210876465
1592888684.8522317,138,0.7957813739776611
1592888698.7181811,139,0.791946291923523
1592888712.5684597,140,0.772770881652832
1592888726.5288224,141,0.793863832950592
1592888740.5896196,142,0.821668267250061
1592888754.5805073,143,0.8063278794288635
1592888768.540597,144,0.7900287508964539
1592888782.4248264,145,0.8101630210876465
1592888796.5399854,146,0.8130393028259277
1592888810.301058,147,0.8034515976905823
1592888824.4065757,148,0.7746884226799011
1592888838.4089656,149,0.794822633266449
1592888852.3867006,150,0.8092042207717896
1592888866.31939,151,0.7996165156364441
1592888880.2575722,152,0.7785235047340393
1592888894.1456935,153,0.8034515976905823
1592888908.0254393,154,0.8139981031417847
1592888922.1304393,155,0.8015340566635132
1592888935.9124527,156,0.8130393028259277
1592888949.8580263,157,0.8207094669342041
1592888963.6597917,158,0.8111217617988586
1592888977.6729887,159,0.8139981031417847
1592888991.5438123,160,0.8082454204559326
