Wall time,Step,Value
1592885960.7008343,0,0.4073512554168701
1592885963.5370789,1,0.4029935598373413
1592885966.3106565,2,0.4365289807319641
1592885969.0902183,3,0.46248579025268555
1592885971.8266647,4,0.5238726735115051
1592885974.6187418,5,0.5744600296020508
1592885977.4362338,6,0.6220158934593201
1592885980.2255077,7,0.6354680061340332
1592885983.032073,8,0.6699507236480713
1592885985.878816,9,0.6928761005401611
1592885988.7387054,10,0.7267904281616211
1592885991.6318111,11,0.737968921661377
1592885994.4836862,12,0.7383478879928589
1592885997.3695524,13,0.7417582273483276
1592886000.2499657,14,0.7510420680046082
1592886003.0423281,15,0.7650625109672546
1592886005.9085503,16,0.7752936482429504
1592886008.7378042,17,0.7929139733314514
1592886011.5772603,18,0.7889351844787598
1592886014.4047172,19,0.7883667945861816
1592886017.2650716,20,0.7936718463897705
1592886020.1193116,21,0.8048503398895264
1592886022.9711664,22,0.8006820678710938
1592886025.838481,23,0.8039029836654663
1592886028.7057433,24,0.8095869421958923
1592886031.521615,25,0.8226600885391235
1592886034.3227246,26,0.8211444020271301
1592886037.1264136,27,0.8323228359222412
1592886039.9926267,28,0.8416066765785217
1592886042.8651755,29,0.8433118462562561
1592886045.6781151,30,0.8514589071273804
1592886048.5613208,31,0.8489958047866821
1592886051.4645157,32,0.8579007387161255
1592886054.3285592,33,0.8618795275688171
1592886057.1955523,34,0.865858256816864
1592886060.023853,35,0.8639636039733887
1592886062.8435473,36,0.8675634860992432
1592886065.674166,37,0.8738158345222473
1592886068.490196,38,0.8740053176879883
1592886071.3187118,39,0.871921181678772
1592886074.1537426,40,0.8635846972465515
1592886076.987724,41,0.8724895715713501
1592886079.8609304,42,0.8749526143074036
1592886082.7547076,43,0.8757104873657227
1592886085.625591,44,0.866237223148346
1592886088.5009398,45,0.8798787593841553
1592886091.3406224,46,0.8774157166481018
1592886094.1807911,47,0.8702160120010376
1592886097.0189486,48,0.8793103694915771
1592886099.9115953,49,0.8774157166481018
1592886102.7327352,50,0.8838575482368469
1592886105.6123965,51,0.8802576661109924
1592886108.4770918,52,0.889162540435791
1592886111.4077892,53,0.8798787593841553
1592886114.4652898,54,0.8741947412490845
1592886117.31646,55,0.8931413292884827
1592886120.1480515,56,0.8956043720245361
1592886123.0173008,57,0.8840469717979431
1592886125.882752,58,0.8825312852859497
1592886128.7500246,59,0.8859416246414185
1592886131.5502696,60,0.8897309303283691
1592886134.3998964,61,0.8954149484634399
1592886137.2382317,62,0.8957938551902771
1592886140.1534302,63,0.8956043720245361
1592886143.0426981,64,0.8912466764450073
1592886145.9544184,65,0.8942781090736389
1592886148.829073,66,0.8921940326690674
1592886151.6800177,67,0.9064039587974548
1592886154.4994817,68,0.8990147709846497
1592886157.3744667,69,0.9014778137207031
1592886160.2087445,70,0.9031830430030823
1592886163.0323331,71,0.8901098966598511
1592886165.8958526,72,0.8969306349754333
1592886168.82117,73,0.8921940326690674
1592886171.7434092,74,0.9016672968864441
1592886174.6127286,75,0.9020462036132812
1592886177.521528,76,0.8988252878189087
1592886180.3990817,77,0.8971201181411743
1592886183.2533937,78,0.9056460857391357
1592886186.0894485,79,0.9020462036132812
1592886188.974686,80,0.8992042541503906
1592886191.857921,81,0.9037514328956604
1592886194.768411,82,0.9130352139472961
1592886197.659669,83,0.9018567800521851
1592886200.598806,84,0.9120879173278809
1592886203.502035,85,0.9071618318557739
1592886206.4107828,86,0.8974990248680115
1592886209.3133779,87,0.9122774004936218
1592886212.1942844,88,0.9079196453094482
1592886215.098187,89,0.906782865524292
1592886217.9702864,90,0.9086775183677673
1592886220.8493433,91,0.913603663444519
1592886223.684217,92,0.9160667061805725
1592886226.5584984,93,0.912466824054718
1592886229.4693437,94,0.9118984341621399
1592886232.4084778,95,0.9147404432296753
1592886235.3132112,96,0.9141720533370972
1592886238.2443712,97,0.9189086556434631
1592886241.1168616,98,0.9234558343887329
1592886243.9684796,99,0.9058355689048767
1592886246.8152597,100,0.918529748916626
1592886249.751016,101,0.9221295714378357
1592886252.628474,102,0.9194770455360413
1592886255.4892285,103,0.918340265750885
1592886258.3943076,104,0.9137930870056152
1592886261.3187027,105,0.9266767501831055
1592886264.2289565,106,0.9245926737785339
1592886267.1318908,107,0.9147404432296753
1592886270.017047,108,0.9109511375427246
1592886272.8795402,109,0.9079196453094482
1592886275.7668924,110,0.9217506647109985
1592886278.6524842,111,0.9257294535636902
1592886281.5584273,112,0.9206138849258423
1592886284.4181669,113,0.9262978434562683
1592886287.296995,114,0.9264873266220093
1592886290.234644,115,0.9251610636711121
1592886293.2929678,116,0.9215611815452576
1592886296.2316115,117,0.924403190612793
1592886299.1774049,118,0.9257294535636902
1592886302.0550606,119,0.912656307220459
1592886304.9628265,120,0.9280030131340027
1592886307.8565595,121,0.9132246971130371
1592886310.746467,122,0.9261083602905273
1592886313.6127954,123,0.9253504872322083
1592886316.4881577,124,0.9274346232414246
1592886319.3994312,125,0.9225085377693176
1592886322.338447,126,0.9259189367294312
1592886325.2556415,127,0.924403190612793
1592886328.156879,128,0.9238348007202148
1592886331.0284352,129,0.9268662333488464
1592886333.973019,130,0.9198560118675232
1592886336.8739297,131,0.9257294535636902
1592886339.780341,132,0.9251610636711121
1592886342.6370904,133,0.9312239289283752
1592886345.5228727,134,0.9268662333488464
1592886348.4551735,135,0.9255399703979492
1592886351.4012873,136,0.9346343278884888
1592886354.302557,137,0.9249715805053711
1592886357.2391732,138,0.9308450222015381
1592886360.16066,139,0.9289503693580627
1592886363.0597916,140,0.9234558343887329
1592886365.9415483,141,0.931034505367279
1592886368.8415432,142,0.9348238110542297
1592886371.7518935,143,0.9350132346153259
1592886374.6483104,144,0.9352027177810669
1592886377.5304518,145,0.9280030131340027
1592886380.4695868,146,0.9166350960731506
1592886383.403641,147,0.93027663230896
1592886386.343329,148,0.9130352139472961
1592886389.269489,149,0.9338764548301697
1592886392.208211,150,0.935960590839386
1592886395.0901508,151,0.93027663230896
1592886397.9889002,152,0.9251610636711121
1592886400.9175406,153,0.9353922009468079
1592886403.7477322,154,0.9331185817718506
1592886406.6121109,155,0.9317923188209534
1592886409.5511773,156,0.9319818019866943
1592886412.510867,157,0.931034505367279
1592886415.4492862,158,0.9389920234680176
1592886418.3979926,159,0.930087149143219
1592886421.282584,160,0.931034505367279
1592886424.195604,161,0.9346343278884888
1592886427.1053135,162,0.9363394975662231
1592886429.968838,163,0.936907947063446
1592886432.8275387,164,0.931034505367279
1592886435.7253788,165,0.9319818019866943
1592886438.660715,166,0.9342554211616516
1592886441.626778,167,0.936150074005127
1592886444.5256882,168,0.9336870312690735
1592886447.49463,169,0.9370973706245422
1592886450.3992481,170,0.9429708123207092
1592886453.2821739,171,0.9352027177810669
1592886456.1987448,172,0.9338764548301697
1592886459.049487,173,0.9376657605171204
1592886461.9842663,174,0.9367184638977051
1592886464.8789423,175,0.9410761594772339
1592886467.8172262,176,0.9329291582107544
1592886470.7718315,177,0.9321712851524353
1592886473.6995609,178,0.936907947063446
1592886476.629681,179,0.9391815066337585
1592886479.5464635,180,0.9363394975662231
1592886482.4921682,181,0.9422129392623901
1592886485.378939,182,0.935960590839386
1592886488.2738242,183,0.9388025999069214
1592886491.16736,184,0.9386131167411804
1592886494.0737805,185,0.9316028952598572
1592886496.9490025,186,0.9304660558700562
1592886499.8837233,187,0.9399393796920776
1592886502.8410337,188,0.9399393796920776
1592886505.8050988,189,0.935771107673645
1592886508.752212,190,0.9333080649375916
1592886511.6223202,191,0.941834032535553
1592886514.5547855,192,0.941834032535553
1592886517.464018,193,0.941644549369812
1592886520.3530903,194,0.9308450222015381
1592886523.2661161,195,0.9365289807319641
1592886526.1959202,196,0.9405077695846558
1592886529.1150672,197,0.9427813291549683
1592886532.078048,198,0.9346343278884888
1592886535.0256677,199,0.9397498965263367
1592886537.9937248,200,0.9386131167411804
1592886540.891377,201,0.9425919055938721
1592886543.833545,202,0.9386131167411804
1592886546.7482212,203,0.9412656426429749
1592886549.6888692,204,0.9488442540168762
1592886552.641295,205,0.9353922009468079
1592886555.585868,206,0.9397498965263367
1592886558.520363,207,0.9448654651641846
1592886561.458501,208,0.9437286853790283
1592886564.3846772,209,0.9431602954864502
1592886567.2928257,210,0.9386131167411804
1592886570.2248228,211,0.9389920234680176
1592886573.182786,212,0.9403182864189148
1592886576.0996134,213,0.9367184638977051
1592886578.989017,214,0.9431602954864502
1592886581.8644974,215,0.9365289807319641
1592886584.850917,216,0.9393709897994995
1592886587.7955108,217,0.936150074005127
1592886590.721409,218,0.9431602954864502
1592886593.6919684,219,0.9427813291549683
1592886596.6650145,220,0.9397498965263367
1592886599.6423447,221,0.9353922009468079
1592886602.5572162,222,0.9393709897994995
1592886605.428111,223,0.9422129392623901
1592886608.3373334,224,0.9422129392623901
1592886611.2661433,225,0.9382341504096985
1592886614.1885755,226,0.9325501918792725
1592886617.0834315,227,0.9386131167411804
1592886620.0280576,228,0.9431602954864502
1592886622.975109,229,0.9414551258087158
1592886625.9410434,230,0.9461917281150818
1592886628.8861625,231,0.9431602954864502
1592886631.8292875,232,0.9488442540168762
