Wall time,Step,Value
1592885960.7046924,0,0.38926175236701965
1592885963.541068,1,0.38926175236701965
1592885966.314676,2,0.3986928164958954
1592885969.0942075,3,0.37569060921669006
1592885971.8423266,4,0.35323384404182434
1592885974.6187418,5,0.3661971688270569
1592885977.4362338,6,0.39906102418899536
1592885980.2255077,7,0.41013824939727783
1592885983.032073,8,0.4536585509777069
1592885985.878816,9,0.48730963468551636
1592885988.742694,10,0.5359116196632385
1592885991.634843,11,0.5762711763381958
1592885994.4867198,12,0.5291005373001099
1592885997.3735433,13,0.5126903653144836
1592886000.2499657,14,0.49751242995262146
1592886003.057947,15,0.5126903653144836
1592886005.9085503,16,0.5126903653144836
1592886008.7378042,17,0.5343915224075317
1592886011.5772603,18,0.5228426456451416
1592886014.4047172,19,0.5024875402450562
1592886017.2680984,20,0.5177664756774902
1592886020.1232677,21,0.5502645373344421
1592886022.97519,22,0.5329949259757996
1592886025.8414729,23,0.5837838053703308
1592886028.7097836,24,0.591160237789154
1592886031.521615,25,0.598870038986206
1592886034.3383088,26,0.5837838053703308
1592886037.1419976,27,0.6101694703102112
1592886039.9926267,28,0.6214689016342163
1592886042.8651755,29,0.6327683329582214
1592886045.6937373,30,0.6508875489234924
1592886048.5642765,31,0.6449704170227051
1592886051.46825,32,0.6568047404289246
1592886054.3317428,33,0.6132596731185913
1592886057.1985803,34,0.6589595079421997
1592886060.0394742,35,0.6327683329582214
1592886062.8435473,36,0.6705202460289001
1592886065.674166,37,0.6270270347595215
1592886068.490196,38,0.676300585269928
1592886071.3187118,39,0.6508875489234924
1592886074.1537426,40,0.6589595079421997
1592886077.003384,41,0.6132596731185913
1592886079.865917,42,0.6440678238868713
1592886082.7587154,43,0.6610169410705566
1592886085.6285832,44,0.6440678238868713
1592886088.5049677,45,0.6298342347145081
1592886091.3406224,46,0.6000000238418579
1592886094.1807911,47,0.5685279369354248
1592886097.0189486,48,0.6408839821815491
1592886099.9115953,49,0.6243094205856323
1592886102.748356,50,0.6408839821815491
1592886105.6123965,51,0.6705202460289001
1592886108.4811172,52,0.6054053902626038
1592886111.411986,53,0.6440678238868713
1592886114.4691195,54,0.5925925970077515
1592886117.3204842,55,0.6137565970420837
1592886120.1480515,56,0.676300585269928
1592886123.0173008,57,0.692307710647583
1592886125.882752,58,0.6497175097465515
1592886128.7500246,59,0.6553672552108765
1592886131.5502696,60,0.6353591084480286
1592886134.3998964,61,0.6084656119346619
1592886137.2422566,62,0.6666666865348816
1592886140.157454,63,0.6084656119346619
1592886143.0467284,64,0.6982248425483704
1592886145.9594474,65,0.6723163723945618
1592886148.8330622,66,0.6705202460289001
1592886151.6800177,67,0.6270270347595215
1592886154.4994817,68,0.7329192757606506
1592886157.3744667,69,0.6137565970420837
1592886160.2244053,70,0.7267080545425415
1592886163.0323331,71,0.6705202460289001
1592886165.9114742,72,0.606217622756958
1592886168.8242009,73,0.7030302882194519
1592886171.7474325,74,0.6666666865348816
1592886174.616619,75,0.6936416029930115
1592886177.5264587,76,0.7333333492279053
1592886180.3990817,77,0.6084656119346619
1592886183.2690148,78,0.6685082912445068
1592886186.0894485,79,0.7453415989875793
1592886188.974686,80,0.7100591659545898
1592886191.8679686,81,0.7041420340538025
1592886194.7704253,82,0.6892655491828918
1592886197.663658,83,0.6994219422340393
1592886200.6037903,84,0.7577639818191528
1592886203.5060241,85,0.6165803074836731
1592886206.414773,86,0.7197452187538147
1592886209.3133779,87,0.7454545497894287
1592886212.1942844,88,0.7515528202056885
1592886215.098187,89,0.6994219422340393
1592886217.9702864,90,0.7090908885002136
1592886220.8493433,91,0.7225433588027954
1592886223.6998346,92,0.694915235042572
1592886226.5584984,93,0.6779661178588867
1592886229.4733326,94,0.7218934893608093
1592886232.413464,95,0.6702702641487122
1592886235.318259,96,0.7052023410797119
1592886238.2488194,97,0.739393949508667
1592886241.1168616,98,0.7062146663665771
1592886243.9841404,99,0.7453415989875793
