Wall time,Step,Value
1592941725.4454074,0,0.23708206415176392
1592941743.8310397,1,0.24932976067066193
1592941762.106359,2,0.447386771440506
1592941780.5918982,3,0.46493998169898987
1592941798.930513,4,0.5948632955551147
1592941817.3295703,5,0.6617773771286011
1592941835.6504443,6,0.580110490322113
1592941853.9632325,7,0.6482449769973755
1592941872.3755996,8,0.6536868214607239
1592941890.794911,9,0.609082818031311
1592941909.2370932,10,0.6267432570457458
1592941927.7253573,11,0.6712211966514587
1592941946.1759996,12,0.6888360977172852
1592941964.6691673,13,0.6337899565696716
1592941983.0070302,14,0.6919149160385132
1592942001.4601943,15,0.6890894174575806
1592942019.841513,16,0.7100949287414551
1592942038.1325467,17,0.6817063093185425
1592942056.4976432,18,0.7311128973960876
1592942074.9601123,19,0.693701446056366
1592942093.2891643,20,0.7497773766517639
1592942111.7278218,21,0.7013216018676758
1592942130.2799337,22,0.7068239450454712
1592942148.6750226,23,0.7306015491485596
1592942167.1523364,24,0.7453250288963318
1592942185.5974352,25,0.7132927775382996
1592942204.1547692,26,0.7369769215583801
1592942222.6153853,27,0.6826503872871399
1592942241.060774,28,0.6477373838424683
1592942259.3356786,29,0.7269763946533203
1592942277.7209997,30,0.7367965579032898
1592942296.0735006,31,0.74799644947052
1592942314.479193,32,0.7704770565032959
1592942333.168671,33,0.732159435749054
1592942351.5734224,34,0.7702582478523254
1592942370.064252,35,0.7388939261436462
1592942388.4889216,36,0.7272727489471436
1592942406.9097867,37,0.7453907132148743
1592942425.3528602,38,0.7568523287773132
1592942443.681313,39,0.7821276783943176
1592942462.2850637,40,0.7408906817436218
1592942480.6014233,41,0.7431539297103882
1592942498.9264622,42,0.7598326206207275
1592942517.133156,43,0.743953287601471
1592942535.565335,44,0.7460464835166931
1592942553.9683654,45,0.7940905094146729
1592942572.3061855,46,0.8100810050964355
1592942590.7208977,47,0.7662337422370911
1592942609.0977495,48,0.7889581322669983
1592942627.64655,49,0.7448046803474426
1592942646.090257,50,0.7635197043418884
1592942664.4110665,51,0.7524842023849487
1592942682.9185228,52,0.7217705249786377
1592942701.4149766,53,0.7456790208816528
1592942719.798841,54,0.762071967124939
1592942738.424049,55,0.7771689295768738
1592942756.9137564,56,0.7523892521858215
1592942775.4311323,57,0.7387996912002563
1592942793.885706,58,0.7436791658401489
1592942812.4267547,59,0.7626392245292664
1592942831.0100338,60,0.7540425658226013
1592942849.4816778,61,0.7560756206512451
1592942867.930555,62,0.6839666366577148
1592942886.4294655,63,0.7757847309112549
1592942904.967459,64,0.7430025339126587
1592942923.49332,65,0.748104453086853
1592942942.0388818,66,0.7777777910232544
1592942960.4944594,67,0.7048242092132568
1592942978.868177,68,0.7726075649261475
1592942997.421031,69,0.7479451894760132
1592943015.9313037,70,0.7729296684265137
1592943034.729152,71,0.7392070293426514
1592943053.1733766,72,0.7514693737030029
1592943071.691191,73,0.7651579976081848
1592943090.1464212,74,0.719326376914978
1592943108.6833067,75,0.7755289673805237
1592943127.0771673,76,0.7532580494880676
1592943145.460132,77,0.7587758898735046
1592943163.882443,78,0.7599629163742065
1592943182.383288,79,0.7762114405632019
1592943200.921528,80,0.7684116959571838
1592943219.2570007,81,0.7446627020835876
1592943237.6613445,82,0.7603890299797058
1592943255.9795325,83,0.735418438911438
1592943274.5525005,84,0.7396798729896545
1592943293.0525148,85,0.7406171560287476
1592943311.8090026,86,0.7595725655555725
1592943330.4580564,87,0.7427821755409241
1592943349.648653,88,0.7200000286102295
1592943368.4872527,89,0.7074164748191833
1592943387.1176198,90,0.7585004568099976
1592943405.4535484,91,0.7506702542304993
1592943423.8866875,92,0.7471264600753784
1592943442.382785,93,0.7654751539230347
1592943460.8262672,94,0.773651659488678
1592943479.2249258,95,0.7889822721481323
1592943497.7025704,96,0.7583547830581665
1592943516.151144,97,0.7376194596290588
1592943534.5299942,98,0.7240788340568542
1592943553.015927,99,0.7357083559036255
1592943571.5311842,100,0.7593396902084351
1592943589.9274328,101,0.7429062724113464
1592943608.4585764,102,0.7252747416496277
1592943626.7823312,103,0.7076382637023926
1592943645.2108626,104,0.7686768770217896
1592943663.784277,105,0.7244094610214233
1592943682.2788599,106,0.7251908183097839
1592943700.8124638,107,0.7243642210960388
1592943719.2041962,108,0.7353689670562744
1592943737.6743433,109,0.7540563344955444
1592943756.0342293,110,0.7232808470726013
1592943774.3692791,111,0.7646511793136597
1592943793.046228,112,0.7852593064308167
1592943811.335937,113,0.7497835755348206
1592943829.8665419,114,0.7575757503509521
1592943848.1779659,115,0.7660119533538818
1592943866.6249294,116,0.7429062724113464
1592943884.9825408,117,0.7139441967010498
1592943903.4628127,118,0.773485541343689
1592943921.9268882,119,0.7238866686820984
1592943940.2275102,120,0.7017815709114075
1592943958.596929,121,0.7609254717826843
1592943977.0979407,122,0.7342536449432373
1592943995.4875312,123,0.7946188449859619
1592944013.834364,124,0.7698343396186829
1592944032.2969697,125,0.7378309369087219
1592944050.8020747,126,0.7413938045501709
1592944069.2436962,127,0.758470892906189
1592944087.5547411,128,0.7630878686904907
1592944105.996193,129,0.7454858422279358
1592944124.3646731,130,0.7821782231330872
1592944142.7759578,131,0.7919340133666992
1592944161.1206484,132,0.7285106182098389
1592944179.6259205,133,0.7653149366378784
1592944197.987218,134,0.7670995593070984
1592944216.4194732,135,0.7791629433631897
1592944234.8157046,136,0.7488829493522644
1592944253.1878054,137,0.7595385909080505
1592944271.6340618,138,0.7439126968383789
