Wall time,Step,Value
1592945939.6555896,0,0.6166142225265503
1592945971.213254,1,0.7750229835510254
1592946002.7346413,2,0.7671853303909302
1592946034.6802797,3,0.7879492044448853
1592946065.969728,4,0.8065632581710815
1592946097.7133062,5,0.8298366069793701
1592946129.3812065,6,0.8183874487876892
1592946161.0669212,7,0.8616243004798889
1592946192.5790555,8,0.8495100736618042
1592946223.9318914,9,0.8707418441772461
1592946255.5303767,10,0.8590607047080994
1592946287.0972989,11,0.8876700401306152
1592946318.3227289,12,0.8900943994522095
1592946349.7958546,13,0.9042811393737793
1592946381.57121,14,0.8841204643249512
1592946413.3942616,15,0.8948929309844971
1592946445.0873473,16,0.9168322682380676
1592946476.3594756,17,0.9221914410591125
1592946507.7011678,18,0.9108969569206238
1592946539.5633311,19,0.9204127788543701
1592946570.8568773,20,0.9466325640678406
1592946602.3256729,21,0.8988330364227295
1592946633.9330077,22,0.9282969236373901
1592946665.4488695,23,0.9456658959388733
1592946696.8980405,24,0.9404149651527405
1592946728.6848593,25,0.9426730871200562
1592946760.099107,26,0.9420467019081116
1592946791.4449914,27,0.9393748641014099
1592946822.9357634,28,0.9336212873458862
1592946854.6436636,29,0.9316724538803101
1592946886.087902,30,0.9437866806983948
1592946917.7583222,31,0.9522894620895386
1592946949.1998186,32,0.9387871026992798
1592946980.9525065,33,0.9432337284088135
1592947012.486293,34,0.9592764973640442
1592947043.8438346,35,0.9406508207321167
1592947075.5429165,36,0.9499539732933044
1592947106.6837578,37,0.9509090781211853
1592947138.1409492,38,0.9354308843612671
1592947169.7523282,39,0.9569371342658997
1592947201.150454,40,0.9435082674026489
1592947232.6685557,41,0.954969048500061
1592947264.2203991,42,0.9581783413887024
1592947295.4903638,43,0.9377508759498596
1592947326.8675003,44,0.9534764885902405
1592947358.5648215,45,0.9574552774429321
1592947389.967989,46,0.9495750665664673
1592947421.8585913,47,0.9584683179855347
1592947453.3805883,48,0.949022114276886
1592947484.730998,49,0.9474097490310669
1592947516.6210766,50,0.9574320912361145
1592947547.6898975,51,0.9485697150230408
1592947579.1216679,52,0.9571188688278198
1592947610.439318,53,0.9631006121635437
1592947641.7778938,54,0.9472821354866028
1592947672.699365,55,0.9469496011734009
1592947704.4369888,56,0.9452328085899353
